"customer_id","first_name","last_name","gender","email","membership_status","address","phone_number","date_of_birth","job","company","city","state","country","language"
"247283226853384318","Dillon","Johnson","F","qconrad@example.net","active","5998 Romero Plaza
South Casey, FL 35165","","1956-01-02","","Johnson Group","","Wisconsin","Jersey","es-ES"
"606112227885144813","Melissa","Zamora","F","shafferjasmine@example.org","inactive","275 Ross Tunnel
Lake Timothyville, AZ 49923","656.696.1506x796","1983-08-15","Hydrographic surveyor","","Christopherville","Oregon","","fr-FR"
"127668228483155495","Julia","Conway","F","ajohnson@example.com","inactive","","","1952-10-07","","Medina PLC","","Illinois","","fr-FR"
"329841228698711623","Manuel","Crosby","F","paigeharris@example.org","inactive","","455.522.9370","1999-10-02","","","","West Virginia","San Marino","en-US"
"325350228911664816","Sherri","Ruiz","F","nhall@example.com","inactive","","622.959.8841x44634","1940-10-17","","","North Samanthashire","Mississippi","","en-US"
"315880229117534235","Brad","Crawford","M","randallclarke@example.org","inactive","","737-979-1623x063","1934-05-20","","","","","Saint Lucia","fr-FR"
"246167229305948854","Nathan","Frye","U","tmejia@example.net","inactive","","","1952-03-31","Tax adviser","Miller-Andrews","East Jonathanborough","Wyoming","","en-US"
"689886229935768065","Christina","Smith","U","lisaevans@example.org","inactive","3041 Craig Path
Malloryberg, MP 90420","","2003-03-07","Psychotherapist, child","Thomas-Bryant","","","","es-ES"
"748717230310125017","Carrie","Smith","U","sandra14@example.net","active","69508 Campbell Center Apt. 943
Matthewbury, MD 98662","001-496-823-6160","1945-11-30","","Obrien, Weiss and Lopez","Cynthiafurt","","India","en-US"
"448579230998108654","Justin","Ramirez","M","davidparsons@example.org","inactive","","+1-743-520-5895x480","1936-08-06","Water quality scientist","Harper, Shields and Briggs","","","Namibia","en-US"
"437212231315202332","Justin","Sims","U","maria87@example.org","active","","","1957-01-15","","","East Laura","","","fr-FR"
"482964231478540863","Wesley","Gaines","M","vanessahicks@example.net","inactive","40884 Catherine Plains
Port Alicia, KY 17796","","1956-07-14","Financial trader","Ramos Inc","Duaneton","Minnesota","","en-US"
"712586231852764161","Sue","Fernandez","M","christopher51@example.net","inactive","156 Eric Mountain Suite 917
East Danielleborough, AR 42777","","1980-02-18","","Cross-Martin","","","Spain","fr-FR"
"848182232161532536","Marissa","Jones","U","hwilliams@example.org","active","957 Santiago Trace Suite 653
South Ann, WY 80767","758.507.5704","1961-07-04","","Frazier Ltd","New Aaron","","Falkland Islands (Malvinas)","en-US"
"512372232492644598","Julian","Thomas","F","sfuller@example.com","inactive","168 Jackson Street Suite 294
Theresaborough, TN 82706","9393692645","1945-12-26","","","Lake Stephenstad","Alabama","","fr-FR"
"764363233152668903","Christopher","Davila","U","mathisandrea@example.com","inactive","951 Larsen Ridges
Tiffanybury, AS 61756","","1981-09-25","Energy manager","","","","Sierra Leone","fr-FR"
"727469233458655841","Nicholas","Hogan","U","rwatkins@example.com","inactive","989 Mikayla Park
East Natasha, GU 03733","720-493-6020x471","2006-02-17","","Simmons LLC","Thomasborough","","Barbados","en-US"
"786865233789483194","Frank","Cooper","M","justinwhite@example.net","inactive","2075 Eaton Dam
Bauerview, MI 61961","","1963-05-12","Surveyor, rural practice","Payne-Hopkins","Erinmouth","North Dakota","","es-ES"
"289541234243173456","Nicole","Bailey","M","kbrown@example.com","inactive","864 Jessica Trail Apt. 862
West Joanberg, MH 46183","","1982-10-21","","","","Idaho","","fr-FR"
"447471234482946820","Connor","Johnson","M","kevin21@example.com","active","","297.504.7002","1981-05-26","Podiatrist","Fox-Avery","","","","es-ES"
"595189234714887041","Alison","Mcdowell","M","stephanie40@example.net","inactive","640 Mark Isle
Lake Rebecca, VT 84103","","1961-04-19","","","Port Anthonyton","Minnesota","","es-ES"
"834776234968745497","Jessica","Phillips","M","connie87@example.org","inactive","","+1-991-476-4825x3565","1953-06-29","Proofreader","Lewis, Bush and Martinez","","","Saint Vincent and the Grenadines","fr-FR"
"486215235242501612","Barbara","Jackson","F","brodriguez@example.com","inactive","USNS Patterson
FPO AP 26584","","1961-09-05","Clinical psychologist","","Mitchellshire","","Zambia","fr-FR"
"524816235497430412","Sharon","Simpson","F","heatherrosario@example.org","active","","","1999-10-14","Editor, magazine features","","North Anthony","","","es-ES"
"469405235703482883","Zachary","Rodriguez","M","herringtara@example.com","active","337 John Wall
North Erika, ME 45797","(243)557-1238x00260","1967-11-24","","","Smithport","Florida","","en-US"
"932103236257551798","Amanda","Bailey","F","stacycampos@example.com","inactive","","","1982-07-14","","Barnes Group","Lake Christopher","","British Virgin Islands","es-ES"
"336388236510928738","Sonya","Woodard","U","caleb67@example.net","active","189 Jessica Unions Apt. 982
Ericaton, MH 12748","","1958-09-03","Surveyor, commercial/residential","Murphy-Long","South Joyce","","","en-US"
"205886236856983005","Megan","Olson","F","stephenscraig@example.net","active","23120 Brown Point
Rogerston, KS 49652","","1952-09-11","Oncologist","Kelley-Hodge","Wardchester","","Argentina","fr-FR"
"800593237276391529","Annette","Barber","U","kylecarpenter@example.com","inactive","74954 Vasquez Circle Suite 232
Baldwinfurt, IA 02997","","2006-05-23","","Little-Medina","","Oklahoma","","en-US"
